genre_id,genre_name,title,adult,budget,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,video,vote_average,vote_count,certification,production_names,production_ids,keyword_id,keyword_name,simple_title,simpleTitleBook,num_months_wait,R,family,based_novel,non_fiction,both,drama,history,crime,horror,mystery,thriller,action,adventure,war,animation,comedy,romance,fantasy,science fiction,western,documentary,music,adventure_fantasy,adventure_fantasy_family
"18, 36","Drama, History",12 Years a Slave,FALSE,20000000,76203,tt2024544,en,12 Years a Slave,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",15.61331,/kb3X943WMIJYVg4SOAyK0pmWL5D.jpg,2013-10-18,187000000,134,Released,The extraordinary true story of Solomon Northup,FALSE,7.9,4873,R,", new regency pictures, plan b entertainment, river road entertainment, regency enterprises, film4 productions",", 10104, 81, 1246, 508, 6705","1294, 1930, 2831, 3136, 4225, 15189, 155794, 188772, 190477, 191812, 192279, 197643, 207928, 19th century, 209069, 209070, 239910","whip, kidnapping, slavery, plantation, night shift, violin player, physical abuse, black slave, cotton, whipping a slave, american history, slave owner, sold into slavery, abolitionist, abuse of power",12 years a slave,12 years a slave,7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 12, 10752","Action, Adventure, War",300,FALSE,65000000,1271,tt0416449,en,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",16.915244,/bYR8O1H1ZlME7Dm9ysfTYZnRDpw.jpg,2006-12-09,422610419,117,Released,"Spartans, prepare for glory!",FALSE,7,6298,R,", virtual studios, legendary pictures, hollywood gang productions, atmosphere entertainment mm, nimar studios, warner bros. pictures, cruel & unusual films",", 449, 923, 2994, 2995, 7636, 174, 9995","3597, 5538, 5539, 6092, 14704, 171603, 190999, 192913","evisceration, javelin, shield, army, ancient world, s.a.t., minions, warrior",300,300,52,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"16, 18, 10751","Animation, Drama, Family",A Christmas Carol,FALSE,200000000,17979,tt1067106,en,A Christmas Carol,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",8.04501,/m1cZT78mldTUyVMyedWLx7saRrL.jpg,2009-11-04,325233863,96,Released,Season's Greedings,FALSE,6.7,1627,PG,", walt disney pictures, imagemovers",", 2, 11395","65, 818, 8250, 10594, 33965, 33966, 161174, 162846, 170457, 180975, 207317","holiday, based on novel, victorian england, money, christmas eve, scrooge, christmas carol, ghost, lesson, charles dickens, christmas",a christmas carol,a christmas carol,2,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"18, 53","Drama, Thriller",Addicted,FALSE,0,235271,tt2205401,en,Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,5.674862,/eTB263jLlyiQ6il7P7zjYHHStKd.jpg,2014-10-10,0,105,Released,Every Woman Needs an Escape,FALSE,5.4,75,R,", codeblack entertainment, lionsgate",", 35327, 1632","1326, 1523, 2251, 7412, 10131, 11501, 14794, 15319, 159346, 162706, 206263, 207665","infidelity, obsession, lie, sin, interracial relationship, cheating wife, lust, attraction, deceit, temptation, hipersexualidad, faithful husband",addicted,addicted,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35, 18, 10749","Comedy, Drama, Romance",Admission,FALSE,13000000,144340,tt1814621,en,Admission,"Strait-laced Princeton University admissions officer Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago. Soon, Portia finds herself bending the rules for Jeremiah, putting at risk the life she thought she always wanted – but in the process finding her way to a surprising and exhilarating life and romance she never dreamed of having.",6.769821,/jxNBmnP2Q1hTWuqCPUTRavGrjLt.jpg,2013-03-21,18000000,107,Released,Let someone in.,FALSE,5.5,340,PG-13,", focus features",", 10146","2307, 2393, 13027, 208744","princeton university, adoption, wedding, admissions",admission,admission,21,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35, 18, 10751, 14","Comedy, Drama, Family, Fantasy",A Dog's Purpose,FALSE,22000000,381289,tt1753383,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,10.410931,/3jcNvhtVQe5Neoffdic39fRactM.jpg,2017-01-19,194647323,100,Released,Every dog happens for a reason.,FALSE,6.9,948,PG,", original pictures, universal pictures, amblin entertainment, pariah entertainment group, walden media, reliance entertainment, pariah",", 4234, 33, 56, 1271, 10221, 7294, 11733","818, 2526, 5484, 15162, 186846","based on novel, human animal relationship, reincarnation, dog, adaptation",a dog's purpose,a dog's purpose,5,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"35, 18, 10749","Comedy, Drama, Romance",A Good Year,FALSE,35000000,9726,tt0401445,en,A Good Year,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",5.741506,/xxVoHo9Z9CZzRdkzj1IxrWYTQWT.jpg,2006-09-09,42064105,118,Released,Everything matures... eventually.,FALSE,6.5,518,PG-13,", fox 2000 pictures, scott free productions",", 711, 1645","1649, 1811, 5334, 5990, 6563, 7755","provence, wine cellar, vineyard, wine garden, wine, winegrower",a good year,a good year,112,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"28, 53, 80, 9648","Action, Thriller, Crime, Mystery",Alex Cross,FALSE,45000000,94348,tt1712170,en,Alex Cross,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.",7.29648,/aaxWTwrsv7PqC0tKpZl0tRPiYDV.jpg,2012-10-18,30353232,101,Released,Don't Ever Cross Alex Cross,FALSE,5.1,351,PG-13,", summit entertainment",", 491","367, 1328, 2398, 5091, 10519, 10683, 18068, 33910, 157303, 158199, 158718, 160500, 163037, 180861, 223438","shyness, secret, narration, kiss, freshman, coming of age, teenage boy, high school student, first love, aunt nephew relationship, lgbt, santa hat, lgbt teen, aunt nephew incest, based on young adult novel",alex cross,alex cross,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10751, 14, 12","Family, Fantasy, Adventure",Alice in Wonderland,FALSE,200000000,12155,tt1014759,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",17.619973,/pvEE5EN5N1yjmHmldfL4aJWm56l.jpg,2010-03-03,1025491110,108,Released,You're invited to a very important date,FALSE,6.4,6145,PG,", walt disney pictures, roth films, team todd, zanuck company, the, tim burton productions",", 2, 16314, 598, 20004, 8601","818, 855, 2011, 2486, 12552, 170362, 209714, 3d","based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world",alice in wonderland,alice in wonderland,62,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"12, 878, 28","Adventure, Science Fiction, Action",Allegiant,FALSE,110000000,262504,tt3410834,en,Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,14.659414,/tSFBh9Ayn5uiwbUK9HvD2lrRgaQ.jpg,2016-03-09,179246868,121,Released,Break the boundaries of your world,FALSE,5.9,2767,PG-13,", mandeville films, summit entertainment, lionsgate, red wagon entertainment",", 10227, 491, 1632, 14440","818, 2020, 4565, 9663, 162988, 206298, 223438","based on novel, revolution, dystopia, sequel, dystopic future, young adult, based on young adult novel",allegiant,allegiant,8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
